,CompensationCurrency,GenderSelect,Country,Age,EmploymentStatus,StudentStatus,LearningDataScience,CodeWriter,CareerSwitcher,CurrentJobTitleSelect,TitleFit,CurrentEmployerType,DataScienceIdentitySelect,FormalEducation,MajorSelect,Tenure,LanguageRecommendationSelect,CompensationAmount,ExchangeRate(USA),CompensationYearUSD
15951,NA,Female,United States,30,I prefer not to say,Yes,"Yes, I'm focused on learning mostly data science skills",NA,NA,NA,NA,NA,Yes,Master's degree,Mathematics or statistics,NA,R,NA,NA,NA
15952,NA,Male,United States,30,Employed full-time,NA,NA,Yes,NA,Data Scientist,Perfectly,Employed by a company that performs advanced analytics,NA,Master's degree,Biology,3 to 5 years,SQL,125000,NA,NA
15953,NA,Male,United States,46,Employed full-time,NA,NA,Yes,NA,Programmer,Fine,Employed by a company that doesn't perform advanced analytics,No,Some college/university study without earning a bachelor's degree,A humanities discipline,More than 10 years,NA,NA,NA,NA
15954,NA,Male,United States,53,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,No,Bachelor's degree,Computer Science,Less than a year,Python,NA,NA,NA
15955,NA,Male,United States,28,Employed part-time,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15956,NA,Male,United States,22,Employed part-time,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15957,NA,Male,United States,29,Employed full-time,NA,NA,Yes,NA,Other,Fine,Employed by professional services/consulting firm,Yes,Master's degree,Engineering (non-computer focused),6 to 10 years,R,NA,NA,NA
15958,NA,Male,United States,30,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that performs advanced analytics,NA,Master's degree,A humanities discipline,3 to 5 years,NA,NA,NA,NA
15959,NA,Male,United States,32,Employed full-time,NA,NA,Yes,NA,Data Analyst,Poorly,Employed by a company that performs advanced analytics,Sort of (Explain more),Master's degree,A humanities discipline,1 to 2 years,Python,90000,NA,NA
15960,NA,Male,United States,53,Employed full-time,NA,NA,Yes,NA,Other,Fine,Employed by a company that doesn't perform advanced analytics,No,Master's degree,NA,3 to 5 years,Python,NA,NA,NA
15961,NA,Male,United States,57,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,Sort of (Explain more),Master's degree,Electrical Engineering,3 to 5 years,R,NA,NA,NA
15962,NA,Male,United States,24,Employed full-time,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15963,NA,Male,United States,55,Employed full-time,NA,NA,Yes,NA,Operations Research Practitioner,Poorly,"Employed by professional services/consulting firm,Employed by company that makes advanced analytic software,Employed by a company that performs advanced analytics",Yes,Master's degree,Computer Science,More than 10 years,Python,NA,NA,NA
15964,NA,Male,United States,45,Employed full-time,NA,NA,Yes,NA,Software Developer/Software Engineer,Poorly,Employed by a company that performs advanced analytics,Sort of (Explain more),Master's degree,Physics,More than 10 years,NA,NA,NA,NA
15965,NA,Male,United States,23,Employed full-time,NA,NA,No,Yes,Business Analyst,Fine,Employed by professional services/consulting firm,No,Master's degree,NA,1 to 2 years,R,NA,NA,NA
15966,NA,Male,United States,32,Employed full-time,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15967,NA,Male,United States,50,Employed full-time,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15968,NA,Male,United States,26,Employed full-time,NA,NA,Yes,NA,Data Scientist,Perfectly,Employed by a company that performs advanced analytics,NA,Master's degree,NA,3 to 5 years,NA,NA,NA,NA
15969,NA,Female,United States,27,Employed part-time,NA,NA,No,Yes,Engineer,Fine,Employed by college or university,Sort of (Explain more),Master's degree,Engineering (non-computer focused),Less than a year,Python,NA,NA,NA
15970,NA,Male,United States,27,Employed full-time,NA,NA,No,Yes,Software Developer/Software Engineer,Perfectly,Employed by a company that doesn't perform advanced analytics,No,Bachelor's degree,Other,Less than a year,R,NA,NA,NA
15971,NA,Male,United States,40,Employed full-time,NA,NA,Yes,NA,Researcher,Poorly,"Employed by professional services/consulting firm,Employed by college or university",Yes,Doctoral degree,Mathematics or statistics,More than 10 years,NA,NA,NA,NA
15972,NA,Male,United States,61,"Not employed, and not looking for work",No,"Yes, but data science is a small part of what I'm focused on learning",NA,NA,NA,NA,NA,No,Professional degree,NA,NA,NA,NA,NA,NA
15973,NA,Male,United States,35,Employed full-time,NA,NA,Yes,NA,Data Scientist,Perfectly,Employed by a company that performs advanced analytics,NA,Doctoral degree,Computer Science,More than 10 years,NA,NA,NA,NA
15974,NA,Male,United States,35,"Independent contractor, freelancer, or self-employed",NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15975,NA,Male,United States,37,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by professional services/consulting firm,NA,Bachelor's degree,Mathematics or statistics,3 to 5 years,NA,NA,NA,NA
15976,NA,Male,United States,29,Employed full-time,NA,NA,Yes,NA,Machine Learning Engineer,Fine,Employed by government,Yes,Master's degree,Other,3 to 5 years,NA,NA,NA,NA
15977,NA,Male,United States,65,Retired,NA,NA,Yes,NA,Data Miner,Fine,Self-employed,Yes,Master's degree,NA,6 to 10 years,R,NA,NA,NA
15978,NA,Male,United States,37,Employed full-time,NA,NA,Yes,NA,Scientist/Researcher,Perfectly,Employed by college or university,Yes,Doctoral degree,Computer Science,6 to 10 years,Scala,NA,NA,NA
15979,NA,Male,United States,53,Employed full-time,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15980,NA,Male,United States,45,Employed full-time,NA,NA,Yes,NA,Other,Poorly,Employed by company that makes advanced analytic software,Yes,Master's degree,A humanities discipline,3 to 5 years,Python,NA,NA,NA
15981,NA,Male,United States,23,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,No,Bachelor's degree,Computer Science,1 to 2 years,Python,NA,NA,NA
15982,NA,Male,United States,51,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,Sort of (Explain more),Doctoral degree,Physics,3 to 5 years,R,NA,NA,NA
15983,NA,Male,United States,26,Employed part-time,NA,NA,Yes,NA,Statistician,NA,Employed by college or university,Yes,Bachelor's degree,Physics,3 to 5 years,NA,NA,NA,NA
15984,NA,NA,United States,55,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15985,NA,Male,United States,35,Employed full-time,NA,NA,Yes,NA,Other,Fine,Employed by professional services/consulting firm,No,Bachelor's degree,Electrical Engineering,Less than a year,Python,NA,NA,NA
15986,NA,Male,United States,29,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by company that makes advanced analytic software,NA,Master's degree,Mathematics or statistics,6 to 10 years,NA,NA,NA,NA
15987,NA,Male,United States,63,Employed full-time,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15988,NA,Male,United States,46,Employed full-time,NA,NA,No,Yes,Programmer,Fine,Employed by professional services/consulting firm,No,Master's degree,NA,1 to 2 years,NA,NA,NA,NA
15989,NA,Male,United States,NA,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15990,NA,Female,United States,26,Employed full-time,NA,NA,Yes,NA,Data Analyst,Poorly,Employed by professional services/consulting firm,No,Master's degree,Management information systems,1 to 2 years,NA,NA,NA,NA
15991,NA,Female,United States,22,Employed full-time,NA,NA,Yes,NA,Software Developer/Software Engineer,Fine,Employed by a company that performs advanced analytics,No,Bachelor's degree,Other,1 to 2 years,NA,NA,NA,NA
15992,NA,Female,United States,37,Employed full-time,NA,NA,Yes,NA,Data Analyst,Poorly,Employed by a company that doesn't perform advanced analytics,Sort of (Explain more),Master's degree,NA,More than 10 years,R,146000,NA,NA
15993,NA,Male,United States,47,Employed full-time,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15994,NA,Male,United States,43,Employed full-time,NA,NA,Yes,NA,Other,Poorly,Employed by a company that doesn't perform advanced analytics,No,Bachelor's degree,Computer Science,Less than a year,NA,NA,NA,NA
15995,NA,Male,United States,34,Employed full-time,NA,NA,Yes,NA,Machine Learning Engineer,Perfectly,Employed by a company that performs advanced analytics,Sort of (Explain more),Doctoral degree,Physics,More than 10 years,NA,NA,NA,NA
15996,NA,Male,United States,67,Retired,NA,NA,Yes,NA,Software Developer/Software Engineer,Poorly,Self-employed,No,Doctoral degree,Physics,More than 10 years,C/C++/C#,NA,NA,NA
15997,NA,Male,United States,58,"Not employed, and not looking for work",No,"Yes, I'm focused on learning mostly data science skills",NA,NA,NA,NA,NA,No,Bachelor's degree,Electrical Engineering,NA,NA,NA,NA,NA
15998,NA,Male,United States,51,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,Yes,Master's degree,A social science,More than 10 years,R,NA,NA,NA
15999,NA,Male,United States,27,Employed full-time,NA,NA,Yes,NA,Software Developer/Software Engineer,Fine,"Employed by company that makes advanced analytic software,Employed by college or university,Employed by a company that performs advanced analytics",Yes,Master's degree,Biology,3 to 5 years,NA,NA,NA,NA
16000,NA,Male,United States,30,Employed full-time,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16001,NA,Male,United States,50,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that performs advanced analytics,NA,Doctoral degree,Mathematics or statistics,More than 10 years,R,NA,NA,NA
16002,NA,Male,United States,23,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,Sort of (Explain more),Master's degree,Engineering (non-computer focused),Less than a year,Python,NA,NA,NA
16003,NA,Male,United States,23,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,Sort of (Explain more),Master's degree,Electrical Engineering,1 to 2 years,Python,NA,NA,NA
16004,NA,Male,United States,28,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,Yes,Master's degree,Computer Science,3 to 5 years,Python,NA,NA,NA
16005,NA,Female,United States,28,Employed full-time,NA,NA,Yes,NA,Data Analyst,Fine,Employed by company that makes advanced analytic software,No,Master's degree,Computer Science,Less than a year,NA,NA,NA,NA
16006,NA,Female,United States,31,Employed full-time,NA,NA,Yes,NA,Scientist/Researcher,Fine,Employed by college or university,Sort of (Explain more),Doctoral degree,Physics,3 to 5 years,NA,NA,NA,NA
16007,NA,Male,United States,26,Employed full-time,NA,NA,No,Yes,Software Developer/Software Engineer,Perfectly,Employed by professional services/consulting firm,No,Master's degree,"Information technology, networking, or system administration",Less than a year,Python,NA,NA,NA
16008,NA,Male,United States,26,Employed full-time,NA,NA,Yes,NA,Software Developer/Software Engineer,NA,NA,No,Bachelor's degree,Computer Science,3 to 5 years,R,NA,NA,NA
16009,NA,Female,United States,22,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,No,Doctoral degree,NA,3 to 5 years,Python,NA,NA,NA
16010,NA,Male,United States,31,Employed full-time,NA,NA,Yes,NA,Business Analyst,Fine,Employed by professional services/consulting firm,No,Bachelor's degree,A social science,3 to 5 years,NA,NA,NA,NA
16011,NA,Female,United States,23,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,No,Master's degree,Electrical Engineering,1 to 2 years,R,NA,NA,NA
16012,NA,Female,United States,42,I prefer not to say,No,"Yes, but data science is a small part of what I'm focused on learning",NA,NA,NA,NA,NA,No,Doctoral degree,Mathematics or statistics,NA,Python,NA,NA,NA
16013,NA,Male,United States,35,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,No,Master's degree,Computer Science,1 to 2 years,Python,NA,NA,NA
16014,NA,Male,United States,38,Employed full-time,NA,NA,No,Yes,DBA/Database Engineer,Fine,Employed by a company that doesn't perform advanced analytics,No,Bachelor's degree,"Information technology, networking, or system administration",Less than a year,SQL,NA,NA,NA
16015,NA,Male,United States,27,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,Sort of (Explain more),Bachelor's degree,Mathematics or statistics,1 to 2 years,Python,NA,NA,NA
16016,NA,Male,United States,26,Employed full-time,NA,NA,Yes,NA,Data Analyst,Fine,Employed by professional services/consulting firm,Sort of (Explain more),Bachelor's degree,Computer Science,Less than a year,NA,NA,NA,NA
16017,NA,Male,United States,40,Employed full-time,NA,NA,Yes,NA,Data Analyst,Poorly,Employed by a company that doesn't perform advanced analytics,Yes,Bachelor's degree,Electrical Engineering,6 to 10 years,NA,NA,NA,NA
16018,NA,Female,United States,28,Employed full-time,NA,NA,No,Yes,Machine Learning Engineer,Fine,Employed by a company that doesn't perform advanced analytics,Yes,Master's degree,NA,NA,NA,NA,NA,NA
16019,NA,Male,United States,25,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,Yes,Master's degree,Electrical Engineering,1 to 2 years,R,NA,NA,NA
16020,NA,Male,United States,50,Employed full-time,NA,NA,No,Yes,Machine Learning Engineer,Fine,Employed by company that makes advanced analytic software,No,Bachelor's degree,Electrical Engineering,3 to 5 years,Python,NA,NA,NA
16021,NA,Female,United States,50,Employed full-time,NA,NA,Yes,NA,Machine Learning Engineer,Fine,Employed by a company that performs advanced analytics,Yes,Master's degree,Engineering (non-computer focused),More than 10 years,Python,NA,NA,NA
16022,NA,Male,United States,33,Employed full-time,NA,NA,Yes,NA,Data Scientist,NA,"Employed by professional services/consulting firm,Employed by company that makes advanced analytic software",NA,Doctoral degree,A social science,6 to 10 years,NA,NA,NA,NA
16023,NA,Male,United States,20,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,No,Bachelor's degree,NA,NA,NA,NA,NA,NA
16024,NA,Female,United States,NA,Employed full-time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16025,NA,Male,United States,37,Employed full-time,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16026,NA,Female,United States,18,Employed full-time,NA,NA,Yes,NA,Machine Learning Engineer,Fine,Employed by professional services/consulting firm,Yes,NA,NA,NA,NA,NA,NA,NA
16027,NA,Male,United States,23,Employed full-time,NA,NA,Yes,NA,Engineer,NA,Employed by professional services/consulting firm,Yes,Bachelor's degree,Engineering (non-computer focused),3 to 5 years,NA,NA,NA,NA
16028,NA,Male,United States,29,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Data Analyst,NA,Employed by professional services/consulting firm,Yes,Master's degree,A social science,Less than a year,NA,NA,NA,NA
16029,NA,Male,United States,52,Employed full-time,NA,NA,Yes,NA,Scientist/Researcher,Fine,Employed by a company that doesn't perform advanced analytics,Yes,Doctoral degree,Physics,More than 10 years,NA,NA,NA,NA
16030,NA,Male,United States,52,Employed full-time,NA,NA,Yes,NA,Other,Fine,Employed by a company that performs advanced analytics,No,Bachelor's degree,Computer Science,Less than a year,NA,NA,NA,NA
16031,NA,Male,United States,26,Employed full-time,NA,NA,Yes,NA,Scientist/Researcher,NA,Employed by college or university,Sort of (Explain more),Master's degree,Computer Science,3 to 5 years,NA,NA,NA,NA
16032,NA,Male,United States,71,Retired,NA,NA,Yes,NA,Software Developer/Software Engineer,Fine,Self-employed,No,Master's degree,Electrical Engineering,More than 10 years,Python,NA,NA,NA
16033,NA,Male,United States,56,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,No,Some college/university study without earning a bachelor's degree,Computer Science,Less than a year,Python,NA,NA,NA
16034,NA,Female,United States,31,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,Yes,Master's degree,Mathematics or statistics,6 to 10 years,R,NA,NA,NA
16035,NA,Female,United States,43,Employed full-time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16036,NA,Male,United States,47,Employed full-time,NA,NA,Yes,NA,Data Scientist,Perfectly,"Employed by company that makes advanced analytic software,Employed by a company that performs advanced analytics",NA,Master's degree,Mathematics or statistics,More than 10 years,NA,NA,NA,NA
16037,NA,Male,United States,20,"Not employed, and not looking for work",Yes,"Yes, but data science is a small part of what I'm focused on learning",NA,NA,NA,NA,NA,Sort of (Explain more),Some college/university study without earning a bachelor's degree,Computer Science,NA,Python,NA,NA,NA
16038,NA,Male,United States,24,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA
16039,NA,Male,United States,29,Employed full-time,NA,NA,Yes,NA,Predictive Modeler,Fine,Employed by a company that performs advanced analytics,Yes,Master's degree,Physics,6 to 10 years,Python,NA,NA,NA
